Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Volume),Average Daily Origin Zone Traffic (StL Volume),Average Daily Destination Zone Traffic (StL Volume),Avg Travel Time (sec)
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),0: All Day (12am-12am),624,613,613,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),1: Early AM (12am-6am),12,9,9,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),2: Peak AM (6am-10am),116,110,110,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),312,312,312,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),153,148,148,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,0: All Days (M-Su),5: Late PM (7pm-12am),39,35,35,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),0: All Day (12am-12am),622,623,623,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),1: Early AM (12am-6am),9,7,7,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),146,146,146,N/A
All Vehicles - StL All Vehicles Volume,,Annadel Estate Winery,yes,30,yes,,Annadel Estate Winery,yes,30,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),286,290,290,N/A
